objectid,sheet_no,scan_exist,scan_avail,scanned_ma,geometry
24.0,H-37-50,Yes,,http://maps.vlasenko.net/smtm100/h-37-050.jpg,"POLYGON ((4063175.00275951 3546466.47467736, 4063175.00275951 3589537.34195273, 4118834.74815615 3589537.34195273, 4118834.74815615 3546466.47467736, 4063175.00275951 3546466.47467736))"
25.0,H-37-51,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4118834.74815615 3546466.47467736, 4118834.74815615 3589537.34195273, 4174494.49355279 3589537.34195273, 4174494.49355279 3546466.47467736, 4118834.74815615 3546466.47467736))"
26.0,H-37-52,Yes,,http://maps.vlasenko.net/smtm100/h-37-052.jpg,"POLYGON ((4174494.49355279 3546466.47467736, 4174494.49355279 3589537.34195273, 4230154.23894942 3589537.34195273, 4230154.23894942 3546466.47467736, 4174494.49355279 3546466.47467736))"
27.0,H-37-53,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4230154.23894942 3546466.47467736, 4230154.23894942 3589537.34195273, 4285813.98434606 3589537.34195273, 4285813.98434606 3546466.47467736, 4230154.23894942 3546466.47467736))"
28.0,H-36-47,Yes,,http://maps.vlasenko.net/smtm100/h-36-047.jpg,"POLYGON ((3896195.7665696 3589537.34195273, 3896195.7665696 3632764.99654835, 3951855.51196624 3632764.99654835, 3951855.51196624 3589537.34195273, 3896195.7665696 3589537.34195273))"
29.0,H-36-48,Yes,,http://maps.vlasenko.net/smtm100/h-36-048.jpg,"POLYGON ((3951855.51196624 3589537.34195273, 3951855.51196624 3632764.99654835, 4007515.25736288 3632764.99654835, 4007515.25736288 3589537.34195273, 3951855.51196624 3589537.34195273))"
30.0,H-37-37,Yes,,http://maps.vlasenko.net/smtm100/h-37-037.jpg,"POLYGON ((4007515.25736288 3589537.34195273, 4007515.25736288 3632764.99654835, 4063175.00275951 3632764.99654835, 4063175.00275951 3589537.34195273, 4007515.25736288 3589537.34195273))"
31.0,H-37-38,Yes,,http://maps.vlasenko.net/smtm100/h-37-038.jpg,"POLYGON ((4063175.00275951 3589537.34195273, 4063175.00275951 3632764.99654835, 4118834.74815615 3632764.99654835, 4118834.74815615 3589537.34195273, 4063175.00275951 3589537.34195273))"
32.0,H-37-39,Yes,,http://maps.vlasenko.net/smtm100/h-37-039.jpg,"POLYGON ((4118834.74815615 3589537.34195273, 4118834.74815615 3632764.99654835, 4174494.49355279 3632764.99654835, 4174494.49355279 3589537.34195273, 4118834.74815615 3589537.34195273))"
33.0,H-37-40,Yes,,http://maps.vlasenko.net/smtm100/h-37-040.jpg,"POLYGON ((4174494.49355279 3589537.34195273, 4174494.49355279 3632764.99654835, 4230154.23894942 3632764.99654835, 4230154.23894942 3589537.34195273, 4174494.49355279 3589537.34195273))"
