OBJECTID,Sheet_no,scan_exist,Scan_avail_yes,Scan_avail_no,Scanned_map,SHAPE
69,I-37-121,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-121.jpg,"{'rings': [[[4007515.25736288, 3807143.10032295], [4007515.25736288, 3851145.35047545], [4063175.00275951, 3851145.35047545], [4063175.00275951, 3807143.10032295], [4007515.25736288, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
70,I-37-122,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-122.jpg,"{'rings': [[[4063175.00275951, 3807143.10032295], [4063175.00275951, 3851145.35047545], [4118834.74815615, 3851145.35047545], [4118834.74815615, 3807143.10032295], [4063175.00275951, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
71,I-37-123,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-123.jpg,"{'rings': [[[4118834.74815615, 3807143.10032295], [4118834.74815615, 3851145.35047545], [4174494.49355279, 3851145.35047545], [4174494.49355279, 3807143.10032295], [4118834.74815615, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
72,I-37-124,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-124.jpg,"{'rings': [[[4174494.49355279, 3807143.10032295], [4174494.49355279, 3851145.35047545], [4230154.23894942, 3851145.35047545], [4230154.23894942, 3807143.10032295], [4174494.49355279, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
73,I-37-125,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-125.jpg,"{'rings': [[[4230154.23894942, 3807143.10032295], [4230154.23894942, 3851145.35047545], [4285813.98434606, 3851145.35047545], [4285813.98434606, 3807143.10032295], [4230154.23894942, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
74,I-37-126,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-126.jpg,"{'rings': [[[4285813.98434606, 3807143.10032295], [4285813.98434606, 3851145.35047545], [4341473.7297427, 3851145.35047545], [4341473.7297427, 3807143.10032295], [4285813.98434606, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
75,I-37-127,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-127.jpg,"{'rings': [[[4341473.7297427, 3807143.10032295], [4341473.7297427, 3851145.35047545], [4397133.47513933, 3851145.35047545], [4397133.47513933, 3807143.10032295], [4341473.7297427, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
76,I-36-120,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-120.jpg,"{'rings': [[[3951855.51196624, 3851145.35047545], [3951855.51196624, 3895320.16619741], [4007515.25736288, 3895320.16619741], [4007515.25736288, 3851145.35047545], [3951855.51196624, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
77,I-37-111,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-111.jpg,"{'rings': [[[4118834.74815615, 3851145.35047545], [4118834.74815615, 3895320.16619741], [4174494.49355279, 3895320.16619741], [4174494.49355279, 3851145.35047545], [4118834.74815615, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
78,I-37-112,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-112.jpg,"{'rings': [[[4174494.49355279, 3851145.35047545], [4174494.49355279, 3895320.16619741], [4230154.23894942, 3895320.16619741], [4230154.23894942, 3851145.35047545], [4174494.49355279, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
79,I-37-113,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-113.jpg,"{'rings': [[[4230154.23894942, 3851145.35047545], [4230154.23894942, 3895320.16619741], [4285813.98434606, 3895320.16619741], [4285813.98434606, 3851145.35047545], [4230154.23894942, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
80,I-37-114,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-114.jpg,"{'rings': [[[4285813.98434606, 3851145.35047545], [4285813.98434606, 3895320.16619741], [4341473.7297427, 3895320.16619741], [4341473.7297427, 3851145.35047545], [4285813.98434606, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
81,I-37-115,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-115.jpg,"{'rings': [[[4341473.7297427, 3851145.35047545], [4341473.7297427, 3895320.16619741], [4397133.47513933, 3895320.16619741], [4397133.47513933, 3851145.35047545], [4341473.7297427, 3851145.35047545]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
82,I-37-101,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-101.jpg,"{'rings': [[[4230154.23894942, 3895320.16619741], [4230154.23894942, 3939629.71932909], [4285813.98434606, 3939629.71932909], [4285813.98434606, 3895320.16619741], [4230154.23894942, 3895320.16619741]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
83,I-37-102,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-102.jpg,"{'rings': [[[4285813.98434606, 3895320.16619741], [4285813.98434606, 3939629.71932909], [4341473.7297427, 3939629.71932909], [4341473.7297427, 3895320.16619741], [4285813.98434606, 3895320.16619741]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
84,I-37-90,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-090.jpg,"{'rings': [[[4285813.98434606, 3939629.71932909], [4285813.98434606, 3984133.56358204], [4341473.7297427, 3984133.56358204], [4341473.7297427, 3939629.71932909], [4285813.98434606, 3939629.71932909]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
