OBJECTID,Sheet_no,scan_exist,Scan_avail_yes,Scan_avail_no,Scanned_map,SHAPE
16,H-36-72,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-072.jpg,"{'rings': [[[3951855.51196624, 3503565.53451451], [3951855.51196624, 3546466.47467736], [4007515.25736288, 3546466.47467736], [4007515.25736288, 3503565.53451451], [3951855.51196624, 3503565.53451451]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
17,H-37-61,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-061.jpg,"{'rings': [[[4007515.25736288, 3503565.53451451], [4007515.25736288, 3546466.47467736], [4063175.00275951, 3546466.47467736], [4063175.00275951, 3503565.53451451], [4007515.25736288, 3503565.53451451]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
18,H-37-62,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-062.jpg,"{'rings': [[[4063175.00275951, 3503565.53451451], [4063175.00275951, 3546466.47467736], [4118834.74815615, 3546466.47467736], [4118834.74815615, 3503565.53451451], [4063175.00275951, 3503565.53451451]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
19,H-37-63,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-063.jpg,"{'rings': [[[4118834.74815615, 3503565.53451451], [4118834.74815615, 3546466.47467736], [4174494.49355279, 3546466.47467736], [4174494.49355279, 3503565.53451451], [4118834.74815615, 3503565.53451451]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
20,H-37-64,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-064.jpg,"{'rings': [[[4174494.49355279, 3503565.53451451], [4174494.49355279, 3546466.47467736], [4230154.23894942, 3546466.47467736], [4230154.23894942, 3503565.53451451], [4174494.49355279, 3503565.53451451]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
21,H-36-59,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-059.jpg,"{'rings': [[[3896195.7665696, 3546466.47467736], [3896195.7665696, 3589537.34195273], [3951855.51196624, 3589537.34195273], [3951855.51196624, 3546466.47467736], [3896195.7665696, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
22,H-36-60,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-060.jpg,"{'rings': [[[3951855.51196624, 3546466.47467736], [3951855.51196624, 3589537.34195273], [4007515.25736288, 3589537.34195273], [4007515.25736288, 3546466.47467736], [3951855.51196624, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
23,H-37-49,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-049.jpg,"{'rings': [[[4007515.25736288, 3546466.47467736], [4007515.25736288, 3589537.34195273], [4063175.00275951, 3589537.34195273], [4063175.00275951, 3546466.47467736], [4007515.25736288, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
24,H-37-50,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-050.jpg,"{'rings': [[[4063175.00275951, 3546466.47467736], [4063175.00275951, 3589537.34195273], [4118834.74815615, 3589537.34195273], [4118834.74815615, 3546466.47467736], [4063175.00275951, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
25,H-37-51,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[4118834.74815615, 3546466.47467736], [4118834.74815615, 3589537.34195273], [4174494.49355279, 3589537.34195273], [4174494.49355279, 3546466.47467736], [4118834.74815615, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
