Code,Station_ID,JMD_code,Station_Name,Altitude_m,Latitude,Longitude,Time,SPI
,AL0017,23,Sawileh,1050,32,35.54,12/31/79,160
,AL0004,30,Jarash,585,32.279346,35.892955,12/31/79,123.8
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,12/31/79,121.8
,AD0012,25,Ramtha,590,32.3,35.59,12/31/79,114.7
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,12/31/79,113.6
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,12/31/79,100.3
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,12/31/79,87.4
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,12/31/79,70.8
SYNP0029,,14,Queen AIA,722,31.43,35.59,12/31/79,67.8
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,12/31/79,59.6
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,12/31/79,59.3
,AM0007,27,South Shuna,-211,31.904103,35.625541,12/31/79,54.6
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,12/31/79,51.2
,CD0034,19,Qatraneh,730,31.15,36.07,12/31/79,26.1
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,12/31/79,18
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,12/31/79,15.7
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,12/31/79,14.5
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,12/31/79,12.3
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,12/31/79,10.7
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,12/31/79,7.8
,F 0003,28,Azraq South ,511,31.82568,36.818333,12/31/79,7.8
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,12/31/79,1.8
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,1/31/80,154.9
,AL0017,23,Sawileh,1050,32,35.54,1/31/80,120
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,1/31/80,117.9
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,1/31/80,116.9
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,1/31/80,106.4
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,1/31/80,102.2
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,1/31/80,98.9
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,1/31/80,91.7
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,1/31/80,77.3
,AD0012,25,Ramtha,590,32.3,35.59,1/31/80,76.9
,CC0001,24,Madaba,758,31.43,35.48,1/31/80,69.5
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,1/31/80,61.9
,AL0004,30,Jarash,585,32.279346,35.892955,1/31/80,57
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,1/31/80,52.1
SYNP0029,,14,Queen AIA,722,31.43,35.59,1/31/80,42.5
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,1/31/80,39.4
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,1/31/80,37.9
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,1/31/80,37.9
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,1/31/80,32
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,1/31/80,28.7
,AM0007,27,South Shuna,-211,31.904103,35.625541,1/31/80,23.9
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,1/31/80,17.8
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,1/31/80,14.8
,F 0003,28,Azraq South ,511,31.82568,36.818333,1/31/80,14.8
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,1/31/80,12
,CD0034,19,Qatraneh,730,31.15,36.07,1/31/80,9.4
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,1/31/80,8.9
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,1/31/80,7.5
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,1/31/80,1.8
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,1/31/80,1.2
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,2/29/80,140
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,2/29/80,135.3
,AL0017,23,Sawileh,1050,32,35.54,2/29/80,135
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,2/29/80,130.1
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,2/29/80,128.4
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,2/29/80,121.1
